33(387|{-0.664639,-0.741959,0.0713026},145|{-0.636826,-0.764785,0.0724196})     1553(145|{-0.636826,-0.764785,0.0724196},387|{-0.664639,-0.741959,0.0713026})
34(2|{-0.707107,-0.707107,-1},1|{-0.55557,-0.83147,-1}) 6(1|{-0.55557,-0.83147,-1},2|{-0.707107,-0.707107,-1})
35(4|{-0.748323,-0.500013,-1},146|{-0.730741,-0.521437,-0.685836})      188(146|{-0.730741,-0.521437,-0.685836},4|{-0.748323,-0.500013,-1})
36(147|{-0.688701,-0.572662,0.0653711},17|{-0.636396,-0.636396,1})      189(17|{-0.636396,-0.636396,1},147|{-0.688701,-0.572662,0.0653711})
37(164|{-0.636396,-0.636396,-0.690453},3|{-0.636396,-0.636396,-1})      198(3|{-0.636396,-0.636396,-1},164|{-0.636396,-0.636396,-0.690453})
38(17|{-0.636396,-0.636396,1},165|{-0.636396,-0.636396,0.0641219})      199(165|{-0.636396,-0.636396,0.0641219},17|{-0.636396,-0.636396,1})
39(146|{-0.730741,-0.521437,-0.685836},382|{-0.684112,-0.578254,-0.688118})     1408(382|{-0.684112,-0.578254,-0.688118},146|{-0.730741,-0.521437,-0.685836})
40(383|{-0.641306,-0.630414,0.0642391},147|{-0.688701,-0.572662,0.0653711})     1432(147|{-0.688701,-0.572662,0.0653711},383|{-0.641306,-0.630414,0.0642391})
41(364|{-0.636396,-0.636396,-0.690453},164|{-0.636396,-0.636396,-0.690453})     1454(164|{-0.636396,-0.636396,-0.690453},364|{-0.636396,-0.636396,-0.690453})
42(382|{-0.684112,-0.578254,-0.688118},364|{-0.636396,-0.636396,-0.690453})     1508(364|{-0.636396,-0.636396,-0.690453},382|{-0.684112,-0.578254,-0.688118})
43(385|{-0.636396,-0.636396,0.0641219},383|{-0.641306,-0.630414,0.0642391})     1512(383|{-0.641306,-0.630414,0.0642391},385|{-0.636396,-0.636396,0.0641219})
44(165|{-0.636396,-0.636396,0.0641219},385|{-0.636396,-0.636396,0.0641219})     1518(385|{-0.636396,-0.636396,0.0641219},165|{-0.636396,-0.636396,0.0641219})
45(3|{-0.636396,-0.636396,-1},4|{-0.748323,-0.500013,-1})       14(4|{-0.748323,-0.500013,-1},3|{-0.636396,-0.636396,-1})
46(3|{-0.636396,-0.636396,-1},148|{-0.61523,-0.653767,-0.689603})       196(148|{-0.61523,-0.653767,-0.689603},3|{-0.636396,-0.636396,-1})
47(149|{-0.563735,-0.696027,0.0655462},19|{-0.500013,-0.748323,1})      197(19|{-0.500013,-0.748323,1},149|{-0.563735,-0.696027,0.0655462})
48(176|{-0.500013,-0.748323,-0.684976},5|{-0.500013,-0.748323,-1})      278(5|{-0.500013,-0.748323,-1},176|{-0.500013,-0.748323,-0.684976})
49(19|{-0.500013,-0.748323,1},177|{-0.500013,-0.748323,-0.136445})      279(177|{-0.500013,-0.748323,-0.136445},19|{-0.500013,-0.748323,1})
50(148|{-0.61523,-0.653767,-0.689603},365|{-0.533111,-0.72116,-0.686305})       1455(365|{-0.533111,-0.72116,-0.686305},148|{-0.61523,-0.653767,-0.689603})
51(365|{-0.533111,-0.72116,-0.686305},176|{-0.500013,-0.748323,-0.684976})      1460(176|{-0.500013,-0.748323,-0.684976},365|{-0.533111,-0.72116,-0.686305})
52(177|{-0.500013,-0.748323,-0.136445},373|{-0.509312,-0.740691,0.0666129})     1480(373|{-0.509312,-0.740691,0.0666129},177|{-0.500013,-0.748323,-0.136445})
53(373|{-0.509312,-0.740691,0.0666129},384|{-0.515674,-0.73547,0.0664882})      1515(384|{-0.515674,-0.73547,0.0664882},373|{-0.509312,-0.740691,0.0666129})
54(384|{-0.515674,-0.73547,0.0664882},149|{-0.563735,-0.696027,0.0655462})      1519(149|{-0.563735,-0.696027,0.0655462},384|{-0.515674,-0.73547,0.0664882})
55(5|{-0.500013,-0.748323,-1},3|{-0.636396,-0.636396,-1})       11(3|{-0.636396,-0.636396,-1},5|{-0.500013,-0.748323,-1})
56(0|{-0.83147,-0.55557,-1},6|{-0.92388,-0.382683,-1})  78(6|{-0.92388,-0.382683,-1},0|{-0.83147,-0.55557,-1})
57(6|{-0.92388,-0.382683,-1},8|{-0.980785,-0.19509,-1}) 84(8|{-0.980785,-0.19509,-1},6|{-0.92388,-0.382683,-1})
58(8|{-0.980785,-0.19509,-1},0|{-0.83147,-0.55557,-1})  59(0|{-0.83147,-0.55557,-1},8|{-0.980785,-0.19509,-1})
59(0|{-0.83147,-0.55557,-1},8|{-0.980785,-0.19509,-1})  58(8|{-0.980785,-0.19509,-1},0|{-0.83147,-0.55557,-1})
60(8|{-0.980785,-0.19509,-1},9|{-0.882707,-0.175581,-1})        71(9|{-0.882707,-0.175581,-1},8|{-0.980785,-0.19509,-1})
61(9|{-0.882707,-0.175581,-1},0|{-0.83147,-0.55557,-1}) 66(0|{-0.83147,-0.55557,-1},9|{-0.882707,-0.175581,-1})
62(4|{-0.748323,-0.500013,-1},0|{-0.83147,-0.55557,-1}) 13(0|{-0.83147,-0.55557,-1},4|{-0.748323,-0.500013,-1})
63(0|{-0.83147,-0.55557,-1},7|{-0.831492,-0.344415,-1}) 65(7|{-0.831492,-0.344415,-1},0|{-0.83147,-0.55557,-1})
64(7|{-0.831492,-0.344415,-1},4|{-0.748323,-0.500013,-1})       91(4|{-0.748323,-0.500013,-1},7|{-0.831492,-0.344415,-1})
65(7|{-0.831492,-0.344415,-1},0|{-0.83147,-0.55557,-1}) 63(0|{-0.83147,-0.55557,-1},7|{-0.831492,-0.344415,-1})
66(0|{-0.83147,-0.55557,-1},9|{-0.882707,-0.175581,-1}) 61(9|{-0.882707,-0.175581,-1},0|{-0.83147,-0.55557,-1})
67(9|{-0.882707,-0.175581,-1},7|{-0.831492,-0.344415,-1})       93(7|{-0.831492,-0.344415,-1},9|{-0.882707,-0.175581,-1})
68(8|{-0.980785,-0.19509,-1},28|{-1,0,-1})      104(28|{-1,0,-1},8|{-0.980785,-0.19509,-1})
69(28|{-1,0,-1},29|{-0.9,0,-1}) 323(29|{-0.9,0,-1},28|{-1,0,-1})
70(29|{-0.9,0,-1},8|{-0.980785,-0.19509,-1})    72(8|{-0.980785,-0.19509,-1},29|{-0.9,0,-1})
71(9|{-0.882707,-0.175581,-1},8|{-0.980785,-0.19509,-1})        60(8|{-0.980785,-0.19509,-1},9|{-0.882707,-0.175581,-1})
72(8|{-0.980785,-0.19509,-1},29|{-0.9,0,-1})    70(29|{-0.9,0,-1},8|{-0.980785,-0.19509,-1})
73(29|{-0.9,0,-1},9|{-0.882707,-0.175581,-1})   113(9|{-0.882707,-0.175581,-1},29|{-0.9,0,-1})
74(0|{-0.83147,-0.55557,-1},150|{-0.844709,-0.5308,-0.713457})  221(150|{-0.844709,-0.5308,-0.713457},0|{-0.83147,-0.55557,-1})
75(151|{-0.846253,-0.527912,-0.68004},20|{-0.92388,-0.382683,1})        222(20|{-0.92388,-0.382683,1},151|{-0.846253,-0.527912,-0.68004})
76(150|{-0.844709,-0.5308,-0.713457},354|{-0.847175,-0.526188,-0.712976})       1409(354|{-0.847175,-0.526188,-0.712976},150|{-0.844709,-0.5308,-0.713457})
77(354|{-0.847175,-0.526188,-0.712976},151|{-0.846253,-0.527912,-0.68004})      1416(151|{-0.846253,-0.527912,-0.68004},354|{-0.847175,-0.526188,-0.712976})
78(6|{-0.92388,-0.382683,-1},0|{-0.83147,-0.55557,-1})  56(0|{-0.83147,-0.55557,-1},6|{-0.92388,-0.382683,-1})
79(20|{-0.92388,-0.382683,1},6|{-0.92388,-0.382683,-1}) 219(6|{-0.92388,-0.382683,-1},20|{-0.92388,-0.382683,1})
80(168|{-0.980785,-0.19509,-0.128526},8|{-0.980785,-0.19509,-1})        234(8|{-0.980785,-0.19509,-1},168|{-0.980785,-0.19509,-0.128526})
81(22|{-0.980785,-0.19509,1},169|{-0.980785,-0.19509,0.122974}) 235(169|{-0.980785,-0.19509,0.122974},22|{-0.980785,-0.19509,1})
82(390|{-0.968636,-0.235142,0.116725},168|{-0.980785,-0.19509,-0.128526})       1441(168|{-0.980785,-0.19509,-0.128526},390|{-0.968636,-0.235142,0.116725})
83(169|{-0.980785,-0.19509,0.122974},390|{-0.968636,-0.235142,0.116725})        1540(390|{-0.968636,-0.235142,0.116725},169|{-0.980785,-0.19509,0.122974})
84(8|{-0.980785,-0.19509,-1},6|{-0.92388,-0.382683,-1}) 57(6|{-0.92388,-0.382683,-1},8|{-0.980785,-0.19509,-1})
85(6|{-0.92388,-0.382683,-1},22|{-0.980785,-0.19509,1}) 218(22|{-0.980785,-0.19509,1},6|{-0.92388,-0.382683,-1})
86(162|{-0.748323,-0.500013,-0.684976},4|{-0.748323,-0.500013,-1})      190(4|{-0.748323,-0.500013,-1},162|{-0.748323,-0.500013,-0.684976})
87(18|{-0.748323,-0.500013,1},163|{-0.748323,-0.500013,-0.136445})      191(163|{-0.748323,-0.500013,-0.136445},18|{-0.748323,-0.500013,1})
88(355|{-0.763585,-0.471459,-0.681999},162|{-0.748323,-0.500013,-0.684976})     1410(162|{-0.748323,-0.500013,-0.684976},355|{-0.763585,-0.471459,-0.681999})
89(163|{-0.748323,-0.500013,-0.136445},355|{-0.763585,-0.471459,-0.681999})     1417(355|{-0.763585,-0.471459,-0.681999},163|{-0.748323,-0.500013,-0.136445})
90(7|{-0.831492,-0.344415,-1},18|{-0.748323,-0.500013,1})       229(18|{-0.748323,-0.500013,1},7|{-0.831492,-0.344415,-1})
91(4|{-0.748323,-0.500013,-1},7|{-0.831492,-0.344415,-1})       64(7|{-0.831492,-0.344415,-1},4|{-0.748323,-0.500013,-1})
92(9|{-0.882707,-0.175581,-1},21|{-0.831492,-0.344415,1})       256(21|{-0.831492,-0.344415,1},9|{-0.882707,-0.175581,-1})
93(7|{-0.831492,-0.344415,-1},9|{-0.882707,-0.175581,-1})       67(9|{-0.882707,-0.175581,-1},7|{-0.831492,-0.344415,-1})
94(21|{-0.831492,-0.344415,1},7|{-0.831492,-0.344415,-1})       230(7|{-0.831492,-0.344415,-1},21|{-0.831492,-0.344415,1})
95(8|{-0.980785,-0.19509,-1},152|{-0.986112,-0.14101,-0.445587})        232(152|{-0.986112,-0.14101,-0.445587},8|{-0.980785,-0.19509,-1})
96(153|{-0.991791,-0.083349,0.145535},44|{-1,0,1})      233(44|{-1,0,1},153|{-0.991791,-0.083349,0.145535})
97(209|{-1,0,-0.629359},28|{-1,0,-1})   493(28|{-1,0,-1},209|{-1,0,-0.629359})
98(44|{-1,0,1},208|{-1,0,0.162363})     494(208|{-1,0,0.162363},44|{-1,0,1})
99(152|{-0.986112,-0.14101,-0.445587},352|{-0.989559,-0.106013,-0.650763})      1402(352|{-0.989559,-0.106013,-0.650763},152|{-0.986112,-0.14101,-0.445587})
100(352|{-0.989559,-0.106013,-0.650763},357|{-0.994645,-0.0543663,-0.640336})   1422(357|{-0.994645,-0.0543663,-0.640336},352|{-0.989559,-0.106013,-0.650763})
101(391|{-0.994411,-0.056749,0.150905},153|{-0.991791,-0.083349,0.145535})      1536(153|{-0.991791,-0.083349,0.145535},391|{-0.994411,-0.056749,0.150905})
102(208|{-1,0,0.162363},391|{-0.994411,-0.056749,0.150905})     1546(391|{-0.994411,-0.056749,0.150905},208|{-1,0,0.162363})
103(357|{-0.994645,-0.0543663,-0.640336},209|{-1,0,-0.629359})  1567(209|{-1,0,-0.629359},357|{-0.994645,-0.0543663,-0.640336})
104(28|{-1,0,-1},8|{-0.980785,-0.19509,-1})     68(8|{-0.980785,-0.19509,-1},28|{-1,0,-1})
105(173|{-0.890028,-0.10125,0.153307},23|{-0.882707,-0.175581,1})       243(23|{-0.882707,-0.175581,1},173|{-0.890028,-0.10125,0.153307})
106(29|{-0.9,0,-1},172|{-0.896661,-0.033904,-0.613809}) 244(172|{-0.896661,-0.033904,-0.613809},29|{-0.9,0,-1})
107(174|{-0.882707,-0.175581,-0.115673},9|{-0.882707,-0.175581,-1})     251(9|{-0.882707,-0.175581,-1},174|{-0.882707,-0.175581,-0.115673})
108(23|{-0.882707,-0.175581,1},175|{-0.882707,-0.175581,0.145983})      252(175|{-0.882707,-0.175581,0.145983},23|{-0.882707,-0.175581,1})
109(353|{-0.891261,-0.0887275,-0.624878},350|{-0.887356,-0.128379,-0.39241})    1403(350|{-0.887356,-0.128379,-0.39241},353|{-0.891261,-0.0887275,-0.624878})
110(172|{-0.896661,-0.033904,-0.613809},353|{-0.891261,-0.0887275,-0.624878})   1423(353|{-0.891261,-0.0887275,-0.624878},172|{-0.896661,-0.033904,-0.613809})
