183(12|{-0.19509,-0.980785,-1},5|{-0.500013,-0.748323,-1})      5(5|{-0.500013,-0.748323,-1},12|{-0.19509,-0.980785,-1})
77(148|{-0.61523,-0.653767,-0.689603},5|{-0.500013,-0.748323,-1})       79(5|{-0.500013,-0.748323,-1},148|{-0.61523,-0.653767,-0.689603})
420(154|{-0.475304,-0.76153,-0.6824},5|{-0.500013,-0.748323,-1})        211(5|{-0.500013,-0.748323,-1},154|{-0.475304,-0.76153,-0.6824})
73(176|{-0.500013,-0.748323,-0.684976},5|{-0.500013,-0.748323,-1})      421(5|{-0.500013,-0.748323,-1},176|{-0.500013,-0.748323,-0.684976})
78(365|{-0.533111,-0.72116,-0.686305},5|{-0.500013,-0.748323,-1})       74(5|{-0.500013,-0.748323,-1},365|{-0.533111,-0.72116,-0.686305})
121(8|{-0.980785,-0.19509,-1},6|{-0.92388,-0.382683,-1})        91(6|{-0.92388,-0.382683,-1},8|{-0.980785,-0.19509,-1})
114(20|{-0.92388,-0.382683,1},6|{-0.92388,-0.382683,-1})        337(6|{-0.92388,-0.382683,-1},20|{-0.92388,-0.382683,1})
336(22|{-0.980785,-0.19509,1},6|{-0.92388,-0.382683,-1})        126(6|{-0.92388,-0.382683,-1},22|{-0.980785,-0.19509,1})
110(150|{-0.844709,-0.5308,-0.713457},6|{-0.92388,-0.382683,-1})        111(6|{-0.92388,-0.382683,-1},150|{-0.844709,-0.5308,-0.713457})
129(168|{-0.980785,-0.19509,-0.128526},6|{-0.92388,-0.382683,-1})       122(6|{-0.92388,-0.382683,-1},168|{-0.980785,-0.19509,-0.128526})
113(354|{-0.847175,-0.526188,-0.712976},6|{-0.92388,-0.382683,-1})      115(6|{-0.92388,-0.382683,-1},354|{-0.847175,-0.526188,-0.712976})
128(390|{-0.968636,-0.235142,0.116725},6|{-0.92388,-0.382683,-1})       130(6|{-0.92388,-0.382683,-1},390|{-0.968636,-0.235142,0.116725})
101(9|{-0.882707,-0.175581,-1},7|{-0.831492,-0.344415,-1})      146(7|{-0.831492,-0.344415,-1},9|{-0.882707,-0.175581,-1})
351(18|{-0.748323,-0.500013,1},7|{-0.831492,-0.344415,-1})      139(7|{-0.831492,-0.344415,-1},18|{-0.748323,-0.500013,1})
145(21|{-0.831492,-0.344415,1},7|{-0.831492,-0.344415,-1})      352(7|{-0.831492,-0.344415,-1},21|{-0.831492,-0.344415,1})
136(162|{-0.748323,-0.500013,-0.684976},7|{-0.831492,-0.344415,-1})     134(7|{-0.831492,-0.344415,-1},162|{-0.748323,-0.500013,-0.684976})
138(355|{-0.763585,-0.471459,-0.681999},7|{-0.831492,-0.344415,-1})     137(7|{-0.831492,-0.344415,-1},355|{-0.763585,-0.471459,-0.681999})
105(9|{-0.882707,-0.175581,-1},8|{-0.980785,-0.19509,-1})       94(8|{-0.980785,-0.19509,-1},9|{-0.882707,-0.175581,-1})
150(28|{-1,0,-1},8|{-0.980785,-0.19509,-1})     102(8|{-0.980785,-0.19509,-1},28|{-1,0,-1})
104(29|{-0.9,0,-1},8|{-0.980785,-0.19509,-1})   106(8|{-0.980785,-0.19509,-1},29|{-0.9,0,-1})
357(152|{-0.986112,-0.14101,-0.445587},8|{-0.980785,-0.19509,-1})       147(8|{-0.980785,-0.19509,-1},152|{-0.986112,-0.14101,-0.445587})
120(168|{-0.980785,-0.19509,-0.128526},8|{-0.980785,-0.19509,-1})       354(8|{-0.980785,-0.19509,-1},168|{-0.980785,-0.19509,-0.128526})
356(351|{-0.98345,-0.168031,-0.287172},8|{-0.980785,-0.19509,-1})       358(8|{-0.980785,-0.19509,-1},351|{-0.98345,-0.168031,-0.287172})
149(352|{-0.989559,-0.106013,-0.650763},8|{-0.980785,-0.19509,-1})      151(8|{-0.980785,-0.19509,-1},352|{-0.989559,-0.106013,-0.650763})
397(21|{-0.831492,-0.344415,1},9|{-0.882707,-0.175581,-1})      144(9|{-0.882707,-0.175581,-1},21|{-0.831492,-0.344415,1})
107(29|{-0.9,0,-1},9|{-0.882707,-0.175581,-1})  168(9|{-0.882707,-0.175581,-1},29|{-0.9,0,-1})
172(174|{-0.882707,-0.175581,-0.115673},9|{-0.882707,-0.175581,-1})     400(9|{-0.882707,-0.175581,-1},174|{-0.882707,-0.175581,-0.115673})
174(350|{-0.887356,-0.128379,-0.39241},9|{-0.882707,-0.175581,-1})      173(9|{-0.882707,-0.175581,-1},350|{-0.887356,-0.128379,-0.39241})
170(353|{-0.891261,-0.0887275,-0.624878},9|{-0.882707,-0.175581,-1})    175(9|{-0.882707,-0.175581,-1},353|{-0.891261,-0.0887275,-0.624878})
399(361|{-0.871485,-0.212575,0.110853},9|{-0.882707,-0.175581,-1})      398(9|{-0.882707,-0.175581,-1},361|{-0.871485,-0.212575,0.110853})
181(12|{-0.19509,-0.980785,-1},10|{-0.382683,-0.92388,-1})      224(10|{-0.382683,-0.92388,-1},12|{-0.19509,-0.980785,-1})
417(15|{-0.55557,-0.83147,1},10|{-0.382683,-0.92388,-1})        202(10|{-0.382683,-0.92388,-1},15|{-0.55557,-0.83147,1})
223(24|{-0.382683,-0.92388,1},10|{-0.382683,-0.92388,-1})       418(10|{-0.382683,-0.92388,-1},24|{-0.382683,-0.92388,1})
201(367|{-0.526188,-0.847175,-0.712976},10|{-0.382683,-0.92388,-1})     200(10|{-0.382683,-0.92388,-1},367|{-0.526188,-0.847175,-0.712976})
186(12|{-0.19509,-0.980785,-1},11|{-0.344415,-0.831492,-1})     185(11|{-0.344415,-0.831492,-1},12|{-0.19509,-0.980785,-1})
244(13|{-0.175581,-0.882707,-1},11|{-0.344415,-0.831492,-1})    187(11|{-0.344415,-0.831492,-1},13|{-0.175581,-0.882707,-1})
216(25|{-0.344415,-0.831492,1},11|{-0.344415,-0.831492,-1})     445(11|{-0.344415,-0.831492,-1},25|{-0.344415,-0.831492,1})
444(27|{-0.175581,-0.882707,1},11|{-0.344415,-0.831492,-1})     249(11|{-0.344415,-0.831492,-1},27|{-0.175581,-0.882707,1})
212(154|{-0.475304,-0.76153,-0.6824},11|{-0.344415,-0.831492,-1})       213(11|{-0.344415,-0.831492,-1},154|{-0.475304,-0.76153,-0.6824})
252(184|{-0.175581,-0.882707,-0.115673},11|{-0.344415,-0.831492,-1})    245(11|{-0.344415,-0.831492,-1},184|{-0.175581,-0.882707,-0.115673})
215(368|{-0.471459,-0.763585,-0.681999},11|{-0.344415,-0.831492,-1})    217(11|{-0.344415,-0.831492,-1},368|{-0.471459,-0.763585,-0.681999})
251(380|{-0.212575,-0.871485,0.110853},11|{-0.344415,-0.831492,-1})     253(11|{-0.344415,-0.831492,-1},380|{-0.212575,-0.871485,0.110853})
188(13|{-0.175581,-0.882707,-1},12|{-0.19509,-0.980785,-1})     189(12|{-0.19509,-0.980785,-1},13|{-0.175581,-0.882707,-1})
438(24|{-0.382683,-0.92388,1},12|{-0.19509,-0.980785,-1})       222(12|{-0.19509,-0.980785,-1},24|{-0.382683,-0.92388,1})
990(60|{0,-1,-1},12|{-0.19509,-0.980785,-1})    228(12|{-0.19509,-0.980785,-1},60|{0,-1,-1})
191(61|{0,-0.9,-1},12|{-0.19509,-0.980785,-1})  194(12|{-0.19509,-0.980785,-1},61|{0,-0.9,-1})
193(62|{0.175581,-0.882707,-1},12|{-0.19509,-0.980785,-1})      997(12|{-0.19509,-0.980785,-1},62|{0.175581,-0.882707,-1})
993(63|{0.19509,-0.980785,-1},12|{-0.19509,-0.980785,-1})       991(12|{-0.19509,-0.980785,-1},63|{0.19509,-0.980785,-1})
996(66|{0.55557,-0.83147,-1},12|{-0.19509,-0.980785,-1})        994(12|{-0.19509,-0.980785,-1},66|{0.55557,-0.83147,-1})
231(178|{-0.19509,-0.980785,-0.128526},12|{-0.19509,-0.980785,-1})      439(12|{-0.19509,-0.980785,-1},178|{-0.19509,-0.980785,-0.128526})
230(371|{-0.106013,-0.989559,-0.650763},12|{-0.19509,-0.980785,-1})     232(12|{-0.19509,-0.980785,-1},371|{-0.106013,-0.989559,-0.650763})
258(61|{0,-0.9,-1},13|{-0.175581,-0.882707,-1}) 190(13|{-0.175581,-0.882707,-1},61|{0,-0.9,-1})
459(156|{-0.124326,-0.887755,-0.416169},13|{-0.175581,-0.882707,-1})    255(13|{-0.175581,-0.882707,-1},156|{-0.124326,-0.887755,-0.416169})
243(184|{-0.175581,-0.882707,-0.115673},13|{-0.175581,-0.882707,-1})    460(13|{-0.175581,-0.882707,-1},184|{-0.175581,-0.882707,-0.115673})
257(372|{-0.0887274,-0.891261,-0.624878},13|{-0.175581,-0.882707,-1})   259(13|{-0.175581,-0.882707,-1},372|{-0.0887274,-0.891261,-0.624878})
328(15|{-0.55557,-0.83147,1},14|{-0.83147,-0.55557,1})  321(14|{-0.83147,-0.55557,1},15|{-0.55557,-0.83147,1})
294(16|{-0.707107,-0.707107,1},14|{-0.83147,-0.55557,1})        329(14|{-0.83147,-0.55557,1},16|{-0.707107,-0.707107,1})
403(20|{-0.92388,-0.382683,1},14|{-0.83147,-0.55557,1}) 343(14|{-0.83147,-0.55557,1},20|{-0.92388,-0.382683,1})
323(22|{-0.980785,-0.19509,1},14|{-0.83147,-0.55557,1}) 404(14|{-0.83147,-0.55557,1},22|{-0.980785,-0.19509,1})
